index,Channel,Date,주차,Campaign,Ad Group,Ad Name,Impressions,Clicks,spends,Conversion Sales,Conversions,signup,Conversion Sales_MMP,Conversions_MMP,signup_MMP,install_MMP,CTR (%),CPC,CVR (%),CPA,ROAS
fastcampust_mo_conversion_installua_rivalimg4_tips,meta,2023-01-01,1,fastcampust_mo_conversion_install,ua_rival,img4_tips,12604,906,304599.0,3930001.0,9,3,3930001.0,9,3,10,7.188194224055855,336.20198675496687,0.9933774834437087,33844.333333333336,12.902212416981014
fastcampust_mo_conversion_signuplookalike_rivalimg5_tips,meta,2023-01-01,1,fastcampust_mo_conversion_signup,lookalike_rival,img5_tips,16825,832,386481.0,3768399.0,15,7,3768399.0,15,7,6,4.945022288261516,464.5204326923077,1.8028846153846152,25765.4,9.750541423769862
fastcampust_mo_trafficlookalike_interestimg1_tips,meta,2023-01-01,1,fastcampust_mo_traffic,lookalike_interest,img1_tips,19843,719,103884.0,3733714.0,5,9,3733714.0,5,9,10,3.6234440356800888,144.48400556328232,0.6954102920723227,20776.8,35.94118439798236
fastcampust_mo_conversion_signuplookalike_rivalimg1_promotion,meta,2023-01-01,1,fastcampust_mo_conversion_signup,lookalike_rival,img1_promotion,7297,364,309555.0,5470668.0,17,5,5470668.0,17,5,13,4.988351377278334,850.4258241758242,4.670329670329671,18209.117647058825,17.672684983282455
fastcampust_mo_conversion_purchaseua_rivalimg4_promotion,meta,2023-01-01,1,fastcampust_mo_conversion_purchase,ua_rival,img4_promotion,14951,734,350107.0,2485985.0,21,5,2485985.0,21,5,13,4.909370610661494,476.9850136239782,2.861035422343324,16671.761904761905,7.100643517553205
fastcampust_mo_conversion_purchaselookalike_rivalimg1_tips,meta,2023-01-01,1,fastcampust_mo_conversion_purchase,lookalike_rival,img1_tips,14973,338,136242.0,2199274.0,9,4,2199274.0,9,4,15,2.2573966472984703,403.08284023668637,2.6627218934911245,15138.0,16.142408361591873
fastcampust_mo_conversion_purchaselookalike_rivalimg4_tips,meta,2023-01-01,1,fastcampust_mo_conversion_purchase,lookalike_rival,img4_tips,9499,767,386971.0,2554459.0,30,5,2554459.0,30,5,9,8.074534161490684,504.52542372881356,3.911342894393742,12899.033333333333,6.601163911507581
fastcampust_mo_trafficua_interestimg5_promotion,meta,2023-01-01,1,fastcampust_mo_traffic,ua_interest,img5_promotion,10596,246,284154.0,2375519.0,30,8,2375519.0,30,8,7,2.32163080407701,1155.0975609756097,12.195121951219512,9471.8,8.359970297796265
fastcampust_mo_conversion_signuplookalike_interestimg5_tips,meta,2023-01-01,1,fastcampust_mo_conversion_signup,lookalike_interest,img5_tips,16201,805,309225.0,3632129.0,35,3,3632129.0,35,3,6,4.968829084624406,384.1304347826087,4.3478260869565215,8835.0,11.74590993613065
fastcampust_mo_trafficlookalike_rivalimg1_tips,meta,2023-01-01,1,fastcampust_mo_traffic,lookalike_rival,img1_tips,10039,856,408566.0,3969328.0,47,10,3969328.0,47,10,13,8.526745691801972,477.29672897196264,5.490654205607477,8692.893617021276,9.715267545512843
fastcampust_mo_conversion_signupua_rivalimg1_logo,meta,2023-01-01,1,fastcampust_mo_conversion_signup,ua_rival,img1_logo,10403,242,238612.5,4371721.92,36,3,4371721.92,36,3,13,2.326252042679996,986.0020661157025,14.87603305785124,6628.125,18.321428760018858
fastcampust_mo_conversion_installua_interestimg3_logo,meta,2023-01-01,1,fastcampust_mo_conversion_install,ua_interest,img3_logo,12236,891,89537.5,3912899.0399999996,5,6,3912899.0399999996,5,6,11,7.281791435109512,100.49102132435466,0.5611672278338945,17907.5,43.7012317743962
fastcampust_mo_trafficretargeting_interestimg1_logo,meta,2023-01-01,1,fastcampust_mo_traffic,retargeting_interest,img1_logo,4050,779,230234.1666666667,782883.3599999999,15,3,782883.3599999999,15,3,5,19.234567901234566,295.55091998288407,1.9255455712451863,15348.944444444445,3.4003787158726073
fastcampust_mo_conversion_installretargeting_rivalimg4_logo,meta,2023-01-01,1,fastcampust_mo_conversion_install,retargeting_rival,img4_logo,13085,747,67284.16666666667,342344.16,5,5,342344.16,5,5,14,5.708826901031715,90.07251227130746,0.6693440428380187,13456.833333333334,5.088034480623227
fastcampust_mo_conversion_purchaselookalike_interestimg3_logo,meta,2023-01-01,1,fastcampust_mo_conversion_purchase,lookalike_interest,img3_logo,14289,612,73985.0,2774141.28,3,6,2774141.28,3,6,7,4.283014906571489,120.890522875817,0.49019607843137253,24661.666666666668,37.495996215449075
fastcampust_mo_trafficlookalike_interestimg3_tips,meta,2023-01-01,1,fastcampust_mo_traffic,lookalike_interest,img3_tips,3870,148,25789.166666666668,370385.27999999997,2,2,370385.27999999997,2,2,12,3.8242894056847545,174.25112612612614,1.3513513513513513,12894.583333333334,14.362049180857593
fastcampust_mo_conversion_installretargeting_interestimg5_logo,meta,2023-01-01,1,fastcampust_mo_conversion_install,retargeting_interest,img5_logo,7179,657,27674.166666666668,427492.8,2,5,0.0,0,0,0,9.15169243627246,42.12201927955353,0.30441400304414,13837.083333333334,15.447359450751302
fastcampust_mo_trafficua_rivalimg3_logo,meta,2023-01-01,1,fastcampust_mo_traffic,ua_rival,img3_logo,4618,545,28305.833333333336,1381926.24,4,7,1381926.24,4,7,14,11.801645734084019,51.93730886850153,0.7339449541284404,7076.458333333334,48.821252627550265
fastcampust_mo_conversion_installua_rivalimg5_tips,meta,2023-01-02,1,fastcampust_mo_conversion_install,ua_rival,img5_tips,13952,211,387436.0,5256581.0,6,2,0.0,0,0,0,1.5123279816513762,1836.1895734597156,2.843601895734597,64572.666666666664,13.56761116674754
fastcampust_mo_conversion_purchaselookalike_interestimg5_logo,meta,2023-01-02,1,fastcampust_mo_conversion_purchase,lookalike_interest,img5_logo,14768,796,407420.0,1319846.0,16,9,0.0,0,0,0,5.390032502708559,511.83417085427135,2.0100502512562812,25463.75,3.2395218693240393
fastcampust_mo_conversion_installretargeting_interestimg4_logo,meta,2023-01-02,1,fastcampust_mo_conversion_install,retargeting_interest,img4_logo,18425,301,392235.0,4623804.0,18,5,0.0,0,0,0,1.633649932157395,1303.1063122923588,5.980066445182724,21790.833333333332,11.78835137098933
fastcampust_mo_trafficlookalike_rivalimg5_promotion,meta,2023-01-02,1,fastcampust_mo_traffic,lookalike_rival,img5_promotion,14411,391,235795.0,4601695.0,17,8,4601695.0,17,8,10,2.7132051904794947,603.0562659846547,4.3478260869565215,13870.29411764706,19.51565978922369
fastcampust_mo_conversion_signuplookalike_interestimg1_tips,meta,2023-01-02,1,fastcampust_mo_conversion_signup,lookalike_interest,img1_tips,17811,174,205855.0,4671632.0,16,8,5900139.2,24,13,21,0.9769243725787434,1183.0747126436781,9.195402298850574,12865.9375,22.693799033300138
fastcampust_mo_trafficua_rivalimg4_logo,meta,2023-01-02,1,fastcampust_mo_traffic,ua_rival,img4_logo,16628,546,229064.0,4005933.0,21,7,4005933.0,21,7,10,3.28361799374549,419.53113553113553,3.8461538461538463,10907.809523809523,17.488269653895856
fastcampust_mo_trafficua_interestimg5_tips,meta,2023-01-02,1,fastcampust_mo_traffic,ua_interest,img5_tips,5218,554,158713.0,2028301.0,15,6,0.0,0,0,0,10.617094672288232,286.485559566787,2.707581227436823,10580.866666666667,12.77967778316836
fastcampust_mo_conversion_installlookalike_interestimg1_tips,meta,2023-01-02,1,fastcampust_mo_conversion_install,lookalike_interest,img1_tips,14539,842,333405.0,4229964.0,35,7,4229964.0,35,7,11,5.791319898204828,395.96793349168644,4.156769596199525,9525.857142857143,12.687164259684168
fastcampust_mo_trafficlookalike_interestimg2_promotion,meta,2023-01-02,1,fastcampust_mo_traffic,lookalike_interest,img2_promotion,3008,946,212739.0,1602456.0,25,3,1602456.0,25,3,9,31.449468085106385,224.88266384778012,2.6427061310782243,8509.56,7.532497567441795
