index,Channel,Date,주차,Campaign,Ad Group,Ad Name,Impressions,Clicks,spends,Conversion Sales,Conversions,signup,Conversion Sales_MMP,Conversions_MMP,signup_MMP,install_MMP,CTR (%),CPC,CVR (%),CPA,ROAS
fastcampust_mo_conversion_signupua_interestimg1_tips,kakao,2023-01-01,1,fastcampust_mo_conversion_signup,ua_interest,img1_tips,5911,184,419458.0,2819880.0,9,5,2819880.0,9,5,12,3.11284046692607,2279.663043478261,4.891304347826087,46606.444444444445,6.72267545260789
fastcampust_mo_conversion_installua_interestimg4_tips,kakao,2023-01-01,1,fastcampust_mo_conversion_install,ua_interest,img4_tips,7190,859,269918.0,3597686.0,7,2,3597686.0,7,2,7,11.947148817802503,314.2235157159488,0.8149010477299184,38559.71428571428,13.328810972221193
fastcampust_mo_conversion_installretargeting_rivalimg5_promotion,kakao,2023-01-01,1,fastcampust_mo_conversion_install,retargeting_rival,img5_promotion,10506,187,486228.0,4674496.0,19,4,4674496.0,19,4,10,1.779935275080906,2600.1497326203207,10.16042780748663,25590.947368421053,9.613794351621051
fastcampust_mo_conversion_signuplookalike_rivalimg4_logo,kakao,2023-01-01,1,fastcampust_mo_conversion_signup,lookalike_rival,img4_logo,13610,987,398063.0,1722741.0,18,2,1722741.0,18,2,9,7.252020573108009,403.30597771023304,1.82370820668693,22114.61111111111,4.32780991953535
fastcampust_mo_trafficua_rivalimg5_tips,kakao,2023-01-01,1,fastcampust_mo_traffic,ua_rival,img5_tips,19120,168,148980.0,1200969.0,8,7,1200969.0,8,7,5,0.8786610878661089,886.7857142857143,4.761904761904762,18622.5,8.06127668143375
fastcampust_mo_trafficua_rivalimg3_logo,kakao,2023-01-01,1,fastcampust_mo_traffic,ua_rival,img3_logo,15163,624,447887.0,1076288.0,32,8,1076288.0,32,8,7,4.115280617292092,717.7676282051282,5.128205128205128,13996.46875,2.4030346940188037
fastcampust_mo_trafficlookalike_interestimg2_logo,kakao,2023-01-01,1,fastcampust_mo_traffic,lookalike_interest,img2_logo,4867,146,413775.0,3793952.0,30,5,3793952.0,30,5,6,2.9997945346209165,2834.0753424657532,20.54794520547945,13792.5,9.169118482266933
fastcampust_mo_trafficlookalike_rivalimg1_logo,kakao,2023-01-01,1,fastcampust_mo_traffic,lookalike_rival,img1_logo,17997,969,297477.0,4707916.0,24,6,4707916.0,24,6,5,5.3842307051175196,306.99380804953563,2.476780185758514,12394.875,15.826151265475985
fastcampust_mo_conversion_signupretargeting_rivalimg4_tips,kakao,2023-01-01,1,fastcampust_mo_conversion_signup,retargeting_rival,img4_tips,14766,839,361847.0,1256216.0,36,3,1256216.0,36,3,12,5.681972098063118,431.28367103694876,4.290822407628129,10051.305555555555,3.4716772558567572
fastcampust_mo_conversion_installlookalike_interestimg1_promotion,kakao,2023-01-01,1,fastcampust_mo_conversion_install,lookalike_interest,img1_promotion,19129,804,448621.0,4693562.0,46,3,4693562.0,46,3,10,4.203042500914841,557.9863184079602,5.721393034825871,9752.630434782608,10.462198604166991
fastcampust_mo_conversion_purchaseua_interestimg2_logo,kakao,2023-01-01,1,fastcampust_mo_conversion_purchase,ua_interest,img2_logo,4237,413,301006.0,1342490.0,34,8,1312209.5999999999,3,3,14,9.747462827472269,728.8280871670702,8.232445520581114,8853.117647058823,4.460010763905038
